scene,algorithm,iterations,cycles
cornell,sppm,2,11345067330
cornell,sppm,4,20729422933
cornell,sppm,8,37464400563
cornell,sppm,16,67350492100
cornell,sppm,32,119766107811
cornell,sppm,64,211718797277
large,sppm,2,4618382603
large,sppm,4,8408317475
large,sppm,8,15733029018
large,sppm,16,30288436136
large,sppm,32,57692115670
large,sppm,64,111080641095
mirror,sppm,2,4642169829
mirror,sppm,4,8663631265
mirror,sppm,8,16484275003
mirror,sppm,16,32381423395
mirror,sppm,32,60821962409
mirror,sppm,64,118380016691
random,sppm,2,16053601124
random,sppm,4,31056912693
random,sppm,8,60203933609
random,sppm,16,118543680938
random,sppm,32,232404368507
random,sppm,64,461135035960
surgery,sppm,2,7296208518
surgery,sppm,4,13926813330
surgery,sppm,8,26885400279
surgery,sppm,16,52330750142
surgery,sppm,32,101986855870
surgery,sppm,64,200097696188
