scene,algorithm,image_size,cycles
cornell,sppm,768,5686515170
cornell,sppm,3072,5904705146
cornell,sppm,12288,6697207905
cornell,sppm,49152,9609659739
cornell,sppm,196608,24730884130
cornell,sppm,786432,101180099401
large,sppm,768,5183664270
large,sppm,3072,5377395360
large,sppm,12288,5638390391
large,sppm,49152,6528072590
large,sppm,196608,11292898318
large,sppm,786432,29913663702
mirror,sppm,768,5167644857
mirror,sppm,3072,5509147235
mirror,sppm,12288,5871311801
mirror,sppm,49152,6912294693
mirror,sppm,196608,12001628697
mirror,sppm,786432,28374931312
random,sppm,768,26112386353
random,sppm,3072,26451263779
random,sppm,12288,26970226663
random,sppm,49152,30672448456
random,sppm,196608,44221785718
random,sppm,786432,105072500439
surgery,sppm,768,10329038493
surgery,sppm,3072,10698044265
surgery,sppm,12288,11059409361
surgery,sppm,49152,12631143664
surgery,sppm,196608,19754377849
surgery,sppm,786432,50152413830
