scene,algorithm,iterations,cycles
cornell,sppm,2,10141295475
cornell,sppm,4,17957352159
cornell,sppm,8,32416215033
cornell,sppm,16,58321470602
cornell,sppm,32,103873334998
cornell,sppm,64,185824617292
large,sppm,2,4524374594
large,sppm,4,7958022803
large,sppm,8,14660013889
large,sppm,16,27668432173
large,sppm,32,52848199338
large,sppm,64,102024068890
mirror,sppm,2,4651194172
mirror,sppm,4,8316788016
mirror,sppm,8,15644629309
mirror,sppm,16,29747905459
mirror,sppm,32,57162955163
mirror,sppm,64,110793067637
random,sppm,2,15459796148
random,sppm,4,29998271937
random,sppm,8,58342335756
random,sppm,16,114802364277
random,sppm,32,225596217552
random,sppm,64,445588622302
surgery,sppm,2,7139633007
surgery,sppm,4,13485931269
surgery,sppm,8,25798896976
surgery,sppm,16,49902586539
surgery,sppm,32,98464366321
surgery,sppm,64,192073135903
