scene,algorithm,photons,cycles
cornell,sppm,12500,4410121721
cornell,sppm,25000,5956592475
cornell,sppm,50000,9209555976
cornell,sppm,100000,15936795997
cornell,sppm,200000,29259131524
cornell,sppm,400000,54168840395
cornell,sppm,800000,105443955774
large,sppm,12500,3345093156
large,sppm,25000,3913565185
large,sppm,50000,5031266138
large,sppm,100000,7359682348
large,sppm,200000,12140402439
large,sppm,400000,21764720951
large,sppm,800000,41224674318
mirror,sppm,12500,4278854839
mirror,sppm,25000,4776177614
mirror,sppm,50000,5916836889
mirror,sppm,100000,8099040140
mirror,sppm,200000,12509304203
mirror,sppm,400000,22645722264
mirror,sppm,800000,41065213644
random,sppm,12500,14267385859
random,sppm,25000,16517774841
random,sppm,50000,20490254247
random,sppm,100000,28922357300
random,sppm,200000,45543058357
random,sppm,400000,79800116078
random,sppm,800000,148081345437
surgery,sppm,12500,6987079788
surgery,sppm,25000,7953787013
surgery,sppm,50000,9578297196
surgery,sppm,100000,13254890427
surgery,sppm,200000,20488008816
surgery,sppm,400000,34924801774
surgery,sppm,800000,64828662758
