scene,algorithm,iterations,cycles
cornell,sppm,2,9839645823
cornell,sppm,4,17414029739
cornell,sppm,8,31084025691
cornell,sppm,16,55101326842
cornell,sppm,32,99270335124
cornell,sppm,64,179600354496
large,sppm,2,4284871688
large,sppm,4,7533916824
large,sppm,8,14044086720
large,sppm,16,25921879588
large,sppm,32,50026250422
large,sppm,64,95776707401
mirror,sppm,2,4432963315
mirror,sppm,4,8022051320
mirror,sppm,8,14888440166
mirror,sppm,16,29002815029
mirror,sppm,32,54530668843
mirror,sppm,64,106420304871
random,sppm,2,15335763842
random,sppm,4,30318378260
random,sppm,8,57765381545
random,sppm,16,113287753255
random,sppm,32,222857146671
random,sppm,64,440289898790
surgery,sppm,2,7019733908
surgery,sppm,4,13090423890
surgery,sppm,8,25084199756
surgery,sppm,16,48557546137
surgery,sppm,32,95165706389
surgery,sppm,64,187412639286
