scene,algorithm,iterations,cycles
cornell,sppm-simd,2,5514388545
cornell,sppm-simd,4,9476825549
cornell,sppm-simd,8,16367182896
cornell,sppm-simd,16,28811940683
cornell,sppm-simd,32,50498926140
cornell,sppm-simd,64,90046365343
large,sppm-simd,2,2126638363
large,sppm-simd,4,3401582313
large,sppm-simd,8,5826251264
large,sppm-simd,16,10362892576
large,sppm-simd,32,18888122831
large,sppm-simd,64,35272149506
mirror,sppm-simd,2,2384078537
mirror,sppm-simd,4,4121035809
mirror,sppm-simd,8,7117962087
mirror,sppm-simd,16,12492057147
mirror,sppm-simd,32,23035291559
mirror,sppm-simd,64,43327144923
random,sppm-simd,2,3691034537
random,sppm-simd,4,6410902324
random,sppm-simd,8,11708688358
random,sppm-simd,16,21553905361
random,sppm-simd,32,41169571722
random,sppm-simd,64,78019577121
surgery,sppm-simd,2,2572812707
surgery,sppm-simd,4,4416522978
surgery,sppm-simd,8,7898375037
surgery,sppm-simd,16,14560012648
surgery,sppm-simd,32,27783686333
surgery,sppm-simd,64,53158188779
cornell,sppm,2,9588988764
cornell,sppm,4,17526788050
cornell,sppm,8,31035372456
cornell,sppm,16,55325243300
cornell,sppm,32,100349774191
cornell,sppm,64,180905811392
large,sppm,2,4204200657
large,sppm,4,7406671598
large,sppm,8,13809192989
large,sppm,16,26044413902
large,sppm,32,49927079981
large,sppm,64,96051885871
mirror,sppm,2,4404277104
mirror,sppm,4,7842710206
mirror,sppm,8,14743151203
mirror,sppm,16,28317040779
mirror,sppm,32,54227438339
mirror,sppm,64,105659937719
random,sppm,2,15330396409
random,sppm,4,29598181379
random,sppm,8,57472356857
random,sppm,16,113146469498
random,sppm,32,222846754241
random,sppm,64,440190252884
surgery,sppm,2,6911380933
surgery,sppm,4,13008348393
surgery,sppm,8,25032851794
surgery,sppm,16,48646016602
surgery,sppm,32,94991431164
surgery,sppm,64,185829217144
