scene,algorithm,iterations,cycles
cornell,sppm-simd,2,11839134099
cornell,sppm-simd,4,20891026917
cornell,sppm-simd,8,35204143922
cornell,sppm-simd,16,62490311083
cornell,sppm-simd,32,108558072600
cornell,sppm-simd,64,180864818853
large,sppm-simd,2,3224700603
large,sppm-simd,4,5362502594
large,sppm-simd,8,9403099587
large,sppm-simd,16,17026189831
large,sppm-simd,32,31584414528
large,sppm-simd,64,57994853361
mirror,sppm-simd,2,3459784212
mirror,sppm-simd,4,6065234291
mirror,sppm-simd,8,10889904765
mirror,sppm-simd,16,20083430197
mirror,sppm-simd,32,37488527713
mirror,sppm-simd,64,69991439353
random,sppm-simd,2,12754810036
random,sppm-simd,4,24015753328
random,sppm-simd,8,46576924266
random,sppm-simd,16,90734585627
random,sppm-simd,32,175984602736
random,sppm-simd,64,346374369007
surgery,sppm-simd,2,6068002515
surgery,sppm-simd,4,11294434487
surgery,sppm-simd,8,21273795355
surgery,sppm-simd,16,40783487933
surgery,sppm-simd,32,79010421788
surgery,sppm-simd,64,154844655350
