scene,algorithm,photons,cycles
cornell,sppm,12500,3974079963
cornell,sppm,25000,5450837582
cornell,sppm,50000,7995987545
cornell,sppm,100000,13704947553
cornell,sppm,200000,24602171993
cornell,sppm,400000,45619940322
cornell,sppm,800000,87287099668
large,sppm,12500,3185452025
large,sppm,25000,3612774415
large,sppm,50000,4602345378
large,sppm,100000,6620789798
large,sppm,200000,10887122698
large,sppm,400000,18866331566
large,sppm,800000,35270745701
mirror,sppm,12500,4039662184
mirror,sppm,25000,4576619897
mirror,sppm,50000,5592576904
mirror,sppm,100000,7509540410
mirror,sppm,200000,11477750913
mirror,sppm,400000,19685296864
mirror,sppm,800000,35829884669
random,sppm,12500,14023094779
random,sppm,25000,15994070405
random,sppm,50000,20073080158
random,sppm,100000,27924482416
random,sppm,200000,43741974119
random,sppm,400000,75553992283
random,sppm,800000,138205468999
surgery,sppm,12500,6764506533
surgery,sppm,25000,7553692042
surgery,sppm,50000,9237848292
surgery,sppm,100000,12439640317
surgery,sppm,200000,19170979168
surgery,sppm,400000,32492902411
surgery,sppm,800000,58972009517
