scene,algorithm,photons,cycles
cornell,sppm-simd,12500,3076595535
cornell,sppm-simd,25000,4815805287
cornell,sppm-simd,50000,8385916640
cornell,sppm-simd,100000,15509507447
cornell,sppm-simd,200000,28539141077
cornell,sppm-simd,400000,53835058438
cornell,sppm-simd,800000,103954422964
large,sppm-simd,12500,1868247271
large,sppm-simd,25000,2205776941
large,sppm-simd,50000,2896417525
large,sppm-simd,100000,4405295342
large,sppm-simd,200000,7298171089
large,sppm-simd,400000,13581912295
large,sppm-simd,800000,25234432017
mirror,sppm-simd,12500,2569480589
mirror,sppm-simd,25000,3022361822
mirror,sppm-simd,50000,3752929829
mirror,sppm-simd,100000,5402498972
mirror,sppm-simd,200000,8511864788
mirror,sppm-simd,400000,14834690628
mirror,sppm-simd,800000,27701998850
random,sppm-simd,12500,9782635858
random,sppm-simd,25000,11302187040
random,sppm-simd,50000,14683959866
random,sppm-simd,100000,21672112949
random,sppm-simd,200000,35452851584
random,sppm-simd,400000,63189483441
random,sppm-simd,800000,117946798074
surgery,sppm-simd,12500,4924138552
surgery,sppm-simd,25000,5556873100
surgery,sppm-simd,50000,7069873614
surgery,sppm-simd,100000,10039077817
surgery,sppm-simd,200000,16176307315
surgery,sppm-simd,400000,28673025283
surgery,sppm-simd,800000,53323515003
