scene,algorithm,image_size,cycles
cornell,sppm,768,12575735820
cornell,sppm,3072,13226062891
cornell,sppm,12288,14842799022
cornell,sppm,49152,21908662148
cornell,sppm,196608,88695333775
cornell,sppm,786432,301442746611
large,sppm,768,12052152862
large,sppm,3072,12355354602
large,sppm,12288,12837234470
large,sppm,49152,14955613369
large,sppm,196608,29105667994
large,sppm,786432,73149707947
mirror,sppm,768,12577223879
mirror,sppm,3072,13089005515
mirror,sppm,12288,13710719321
mirror,sppm,49152,16268211070
mirror,sppm,196608,31991700219
mirror,sppm,786432,72302822458
random,sppm,768,94984737545
random,sppm,3072,95835407872
random,sppm,12288,98349741996
random,sppm,49152,108626378914
random,sppm,196608,162169049978
random,sppm,786432,365154620484
surgery,sppm,768,33573262020
surgery,sppm,3072,34164509652
surgery,sppm,12288,35277919521
surgery,sppm,49152,39598517338
surgery,sppm,196608,64489315555
surgery,sppm,786432,150699388142
