scene,algorithm,image_size,cycles
cornell,sppm,768,5187880076
cornell,sppm,3072,5559758843
cornell,sppm,12288,6360664305
cornell,sppm,49152,9148955376
cornell,sppm,196608,24484519218
cornell,sppm,786432,99593088591
large,sppm,768,4776954645
large,sppm,3072,5062615793
large,sppm,12288,5277782756
large,sppm,49152,6071526270
large,sppm,196608,10703646600
large,sppm,786432,29127376488
mirror,sppm,768,4841491082
mirror,sppm,3072,5189233818
mirror,sppm,12288,5526233655
mirror,sppm,49152,6641918654
mirror,sppm,196608,11426279403
mirror,sppm,786432,27390467580
random,sppm,768,25273788111
random,sppm,3072,25674634074
random,sppm,12288,26737503877
random,sppm,49152,29704220279
random,sppm,196608,43703140183
random,sppm,786432,104189235319
surgery,sppm,768,10087153193
surgery,sppm,3072,10269593376
surgery,sppm,12288,10900072337
surgery,sppm,49152,12186764042
surgery,sppm,196608,19113856609
surgery,sppm,786432,49526030957
