scene,algorithm,photons,cycles
cornell,sppm,12500,4109700641
cornell,sppm,25000,5545281619
cornell,sppm,50000,8468951469
cornell,sppm,100000,14010887721
cornell,sppm,200000,25191443755
cornell,sppm,400000,46432942357
cornell,sppm,800000,89755175769
large,sppm,12500,3344916997
large,sppm,25000,3814083206
large,sppm,50000,4850864453
large,sppm,100000,7008047446
large,sppm,200000,11324755772
large,sppm,400000,19901973343
large,sppm,800000,37161459820
mirror,sppm,12500,4223825482
mirror,sppm,25000,4794502024
mirror,sppm,50000,5762331501
mirror,sppm,100000,7841112553
mirror,sppm,200000,12023319566
mirror,sppm,400000,20444850935
mirror,sppm,800000,37253849818
random,sppm,12500,14208192560
random,sppm,25000,16202560359
random,sppm,50000,20105050300
random,sppm,100000,28288503465
random,sppm,200000,44444032505
random,sppm,400000,76214414611
random,sppm,800000,142019710078
surgery,sppm,12500,6947318608
surgery,sppm,25000,7863489716
surgery,sppm,50000,9493190267
surgery,sppm,100000,13104949934
surgery,sppm,200000,19660783313
surgery,sppm,400000,33285576879
surgery,sppm,800000,60337673988
