scene,algorithm,image_size,cycles
cornell,sppm-simd,768,2183150390
cornell,sppm-simd,3072,2567011870
cornell,sppm-simd,12288,3949517170
cornell,sppm-simd,49152,8193453982
cornell,sppm-simd,196608,27717029198
cornell,sppm-simd,786432,148270408528
large,sppm-simd,768,1880042289
large,sppm-simd,3072,2168212291
large,sppm-simd,12288,2567022421
large,sppm-simd,49152,3507749551
large,sppm-simd,196608,7316133180
large,sppm-simd,786432,26942933110
mirror,sppm-simd,768,2192495461
mirror,sppm-simd,3072,2525841160
mirror,sppm-simd,12288,3064653558
mirror,sppm-simd,49152,4184210978
mirror,sppm-simd,196608,8576940012
mirror,sppm-simd,786432,24463702511
random,sppm-simd,768,19174149464
random,sppm-simd,3072,19548547068
random,sppm-simd,12288,20446700585
random,sppm-simd,49152,23269688941
random,sppm-simd,196608,35592850019
random,sppm-simd,786432,99662500992
surgery,sppm-simd,768,7679409871
surgery,sppm-simd,3072,8008383555
surgery,sppm-simd,12288,8777571938
surgery,sppm-simd,49152,10013638162
surgery,sppm-simd,196608,16158305558
surgery,sppm-simd,786432,48709308974
