scene,algorithm,image_size,cycles
cornell,sppm,768,5548398347
cornell,sppm,3072,6089400944
cornell,sppm,12288,6728178543
cornell,sppm,49152,9929095312
cornell,sppm,196608,29449532910
cornell,sppm,786432,109159911263
large,sppm,768,5235484951
large,sppm,3072,5388435095
large,sppm,12288,5677806507
large,sppm,49152,6642528529
large,sppm,196608,12375001139
large,sppm,786432,30778677654
mirror,sppm,768,5213513742
mirror,sppm,3072,5489002230
mirror,sppm,12288,5840384807
mirror,sppm,49152,6957927685
mirror,sppm,196608,12752250371
mirror,sppm,786432,29076565571
random,sppm,768,26653239524
random,sppm,3072,26389880829
random,sppm,12288,26982375839
random,sppm,49152,30280029791
random,sppm,196608,45618212956
random,sppm,786432,106875953697
surgery,sppm,768,10235895220
surgery,sppm,3072,10636424907
surgery,sppm,12288,11078023245
surgery,sppm,49152,12611422364
surgery,sppm,196608,20351541536
surgery,sppm,786432,50407332506
