scene, s, camera pass, build lookup, photon pass, consolidate
cornell, 9, 0.1233098, 0.09369569999999999, 3.6075335, 0.0021966
large, 9, 0.11821509999999999, 0.0657672, 1.1174624000000002, 0.0016473999999999998
mirror, 11, 0.14871909999999997, 0.1326031, 1.0502557, 0.0019699
random, 189, 0.6684642999999999, 0.05675960000000001, 2.8397853, 0.0014729
surgery, 71, 0.35632739999999996, 0.1765373, 1.4224466000000002, 0.0016492

default params, p, l, d, initial radius
value, 512 x 384, 200000, 5, 2.0
